Risk ID,Control Objective,NIST CSF 2.0 Function,NIST SP 800 53 Control Reference,NIST SP 800 171 Reference,HIPAA Linkage,GLBA Linkage,Federal Linkage,Evidence
R01,Restrict access to regulated storage based on classification and business need.,Protect,"AC 3, SC 28","03.01, 03.13",Technical safeguards for access and data protection,Access controls and encryption safeguards,CUI confidentiality protection,"Storage permissions, encryption settings, data classification labels"
R02,"Require strong authentication for privileged, remote, and vendor access.",Protect,"IA 2, AC 2","03.01, 03.05",Technical safeguards for access control,Multifactor authentication requirement,Federal identity and access control expectation,"Identity provider policy, privileged account export"
R03,Review user access on a defined cadence and remove access when no longer needed.,"Govern, Protect","AC 2, AC 6",03.01,Administrative safeguards and workforce access controls,Access governance safeguard,Least privilege for federal data,"Quarterly access certification, termination samples"
R04,"Collect, retain, and review logs for security relevant activity.",Detect,"AU 2, AU 6, SI 4",03.14,Audit controls and activity review,Monitoring and testing safeguards,Continuous monitoring support,"Log source list, alert evidence, review records"
R05,Assess vendors before and after onboarding when they touch restricted data.,Govern,"SR 3, SR 5, CA 3",03.15,Business associate and third party handling expectations,Service provider oversight,Supply chain and federal data protection,"Vendor inventory, contracts, security review notes"
R06,"Classify incidents by data type, obligation, impact, and notification pathway.",Respond,"IR 4, IR 6, IR 8",03.06,Security incident procedures,Incident response safeguard,Agency reporting and authorization impact,"Incident response plan, tabletop results"
R07,Document payment data flow and reduce cardholder data exposure.,Protect,"SC 7, AC 4, RA 3",Not primary,Not primary unless payment data connects to patient records,Customer information safeguard,Not primary unless federal payment data exists,"Data flow diagram, processor attestation, segmentation evidence"
R08,"Separate, mark, and govern CUI and sensitive PII used in the federal pilot.","Govern, Protect","AC 4, MP 5, SC 8, SC 28","03.03, 03.08, 03.13",May overlap when CUI includes health data,May overlap when financial data is included,CUI safeguarding and dissemination controls,"CUI procedure, folder permissions, training records"
R09,Validate backup restoration for systems that support restricted data.,Recover,"CP 9, CP 10",03.11,Contingency planning expectation,Availability and continuity safeguard,Continuity and recovery expectation,"Backup report, restore test record, recovery objectives"
